#SNname    zcmb    sBV    +/-   dm15   +/-   M(H)    +/-     M(J)    +/-     M(Y)    +/-     M(i)    +/-     M(V)    +/-     M(B)    +/-    
SN2009P    0.02632  1.093 0.030  0.796 0.018  99.990  9.990 -18.641  0.105 -18.307  0.097 -18.419  0.091 -19.350  0.091 -19.383  0.091
SN2009Y    0.01010  1.189 0.008  0.960 0.030 -18.413  0.217 -18.623  0.217 -18.547  0.216 -18.625  0.216 -19.496  0.216 -19.531  0.216
SN2009aa   0.02848  0.908 0.004  1.205 0.042 -18.416  0.079 -18.613  0.078 -18.554  0.078 -18.566  0.078 -19.254  0.078 -19.318  0.078
SN2009ab   0.01086  0.873 0.005  1.221 0.029 -18.082  0.201 -18.329  0.201 -18.308  0.201 -18.206  0.201 -18.873  0.201 -18.959  0.202
SN2009ad   0.02832  1.017 0.006  0.907 0.024 -18.296  0.089 -18.665  0.079 -18.531  0.079 -18.584  0.078 -19.344  0.079 -19.400  0.079
SN2009ag   0.00925  0.961 0.007  1.049 0.015 -18.188  0.235 -18.412  0.235 -18.379  0.236 -18.328  0.237 -19.039  0.237 -19.154  0.237
SN2009al   0.02328  1.174 0.040  0.696 0.019 -18.455  0.104 -18.819  0.103 -18.704  0.104 -18.846  0.125 -19.528  0.108 -19.619  0.116
SN2009cz   0.02198  1.189 0.012  0.851 0.022 -18.335  0.109 -18.682  0.105 -18.514  0.103 -18.656  0.101 -19.430  0.102 -19.509  0.102
SN2009ds   0.02047  1.126 0.020  0.727 0.027 -18.361  0.116 -18.723  0.111 -18.318  0.112 -18.649  0.109 -19.443  0.108 -19.508  0.108
SN2009le   0.01703  1.166 0.022  0.785 0.029  99.990  9.990  99.990  9.990  99.990  9.990 -18.549  0.136 -19.391  0.139 -19.448  0.140
SN2011iv   0.00618  0.649 0.007  1.550 0.008 -19.090  0.353 -19.241  0.352 -19.640  0.353 -19.157  0.351 -19.625  0.351 -19.608  0.351
SN1981B    0.00717  0.921 0.006  1.140 0.015 -18.341  0.080 -18.489  0.124  99.990  9.990  99.990  9.990 -19.154  0.072 -19.223  0.072
SN1990N    0.00407  1.122 0.009  1.037 0.015  99.990  9.990  99.990  9.990  99.990  9.990 -18.634  0.082 -19.420  0.087 -19.497  0.088
SN1994ae   0.00512  1.046 0.007  0.923 0.007  99.990  9.990  99.990  9.990  99.990  9.990 -18.484  0.081 -19.286  0.085 -19.411  0.085
SN1995al   0.00588  1.126 0.016  0.874 0.020  99.990  9.990  99.990  9.990  99.990  9.990 -18.604  0.095 -19.452  0.102 -19.497  0.102
SN1998aq   0.00426  0.949 0.005  1.050 0.007  99.990  9.990  99.990  9.990  99.990  9.990 -18.466  0.066 -19.159  0.067 -19.272  0.069
SN2002fk   0.00661  0.998 0.004  0.990 0.008  99.990  9.990  99.990  9.990  99.990  9.990 -18.590  0.066 -19.240  0.067 -19.344  0.069
